Country,Company Name,Year,Sector,DealType,DealSubtype, Proceeds ($ millions) ,RealSector
Hungary,MOL Magyar Olaj- és Gázipari Rt.,1994,Energy,,, 130.63 ,Petroleum
Hungary,Ipar-és Gazdaságkutató Kft,1994,Financial,,, 0.02 ,Real estate
Hungary,Bács-Kiskun Megyei Beruházási Kft.,1994,Financial,,, 0.05 ,Real estate
Hungary,"SZOLORG Tanácsadó, Vagyonkezelô és Kutató Kft.",1994,Financial,,, 0.07 ,Real estate
Hungary,ÉPBER Építôipari Beruházási Szervezô Kft,1994,Financial,,, 0.08 ,Real estate
Hungary,IPARTERV Épülettervezô Rt,1994,Financial,,, 0.13 ,Real estate
Hungary,ACSI Logisztika Rt,1994,Financial,,, 0.20 ,Real estate
Hungary,Dohánykutató és Minôségfejlesztô Intézet Rt.,1994,Financial,,, 0.39 ,Real estate
Hungary,VIBEG Kereskedelmi és Szolgáltató Kft.,1994,Financial,,, 0.40 ,Real estate
Hungary,UNIFORM Vagyonértékelô és Szolgáltató Kft.,1994,Financial,,, 0.55 ,Real estate
Hungary,Számítástechnikai Kommunikáció és Innovatika Kft.,1994,Financial,,, 0.60 ,Real estate
Hungary,FKK Faipari és Kiállítás Kivitelezô Kft.,1994,Financial,,, 1.02 ,Real estate
Hungary,Ipari Számítástechnikai Kft.,1994,Financial,,, 1.05 ,Real estate
Hungary,X Iparcikk Kölcsönzô és Szolgáltató Rt.,1994,Financial,,, 1.10 ,Real estate
Hungary,Fôvárosi Ingatlanközvetítô Rt.,1994,Financial,,, 1.15 ,Real estate
Hungary,MAHIR Rt.,1994,Financial,,, 3.20 ,Real estate
Hungary,Számítástechnikai és Ügyvitelszervezô Vállalkozás Rt.,1994,Financial,,, 7.00 ,Real estate
Hungary,CB-AEGON Cltalános Biztosító Rt.,1994,Financial,,, 6.97 ,Banking
Hungary,PILLÉR Elsô Ingatlanbef.Alap,1994,Financial,,, 13.52 ,Real estate
Hungary,Magyar Külkereskedelmi Bank Rt.,1994,Financial,,, 16.46 ,Banking
Hungary,PILLÉR Második Ing.bef.Alap,1994,Financial,,, 18.23 ,Real estate
Hungary,Hungária Biztosító Rt.,1994,Financial,,, 22.04 ,Banking
Hungary,Országos Takarékpénztár és Kereskedelmi Bank Rt.,1994,Financial,,, 94.45 ,Banking
Hungary,Dunántúli Kôolajipari Gépgyár Rt,1994,Manufacturing & Services,,,,Manufacturing
Hungary,Sarkadi Cukorgyár RT,1994,Manufacturing & Services,,,,Manufacturing
Hungary,Sárvári Cukoripari Részvénytársaság,1994,Manufacturing & Services,,,,Manufacturing
Hungary,Ccsi Cukoripari Rt,1994,Manufacturing & Services,,,,Manufacturing
Hungary,Szegedi Paprika Rt.,1994,Manufacturing & Services,,, 0.01 ,Manufacturing
Hungary,FÉKGÉP Fékszerelvény és Gépgyártó Rt.,1994,Manufacturing & Services,,, 0.01 ,Manufacturing
Hungary,HUNOR  Pécsi Kesztyl és Bôrruházati Rt.,1994,Manufacturing & Services,,, 0.02 ,Manufacturing
Hungary,Szépirodalmi Könyvkiadó Kft.,1994,Manufacturing & Services,,, 0.02 ,Manufacturing
Hungary,"Poliroad Modifikált Bitumengyártó, Feld. és Forgalmazó Kft.",1994,Manufacturing & Services,,,,Construction
Hungary,Móra Ferenc Ifjúsági Könyvkiadó Rt.,1994,Manufacturing & Services,,, 0.03 ,Manufacturing
Hungary,Zala Bútorgyár Részvénytársaság,1994,Manufacturing & Services,,, 0.04 ,Manufacturing
Hungary,Kék Duna Divat és Szépségszalon Kft.,1994,Manufacturing & Services,,, 0.04 ,Manufacturing
Hungary,Generál Javszer Kft.,1994,Manufacturing & Services,,, 0.05 ,Construction
Hungary,Gép- és Technológiaszerelô Rt.,1994,Manufacturing & Services,,, 0.06 ,Manufacturing
Hungary,Pápateszéri Téglaipari Kft,1994,Manufacturing & Services,,, 0.07 ,Manufacturing
Hungary,Kalocsakörnyéki Agráripari Egyesülés Részvénytársaság,1994,Manufacturing & Services,,,,Manufacturing
Hungary,Szôreg AGRO Kft.,1994,Manufacturing & Services,,, 0.11 ,Agriculture
Hungary,Karcagi Nyomda Kft.,1994,Manufacturing & Services,,, 0.12 ,Manufacturing
Hungary,KIPSZER Elektromos Szerelô Rt.,1994,Manufacturing & Services,,, 0.13 ,Manufacturing
Hungary,Tapolcafôi Téglaipari Kft.,1994,Manufacturing & Services,,, 0.13 ,Manufacturing
Hungary,Egri Stépítô Rt.,1994,Manufacturing & Services,,, 0.13 ,Construction
Hungary,Szentgotthárdi Téglaipari Kft.,1994,Manufacturing & Services,,, 0.14 ,Manufacturing
Hungary,"Szekuritcs Ipari, Kereskedelmi és Szolgáltató Kft.",1994,Manufacturing & Services,,, 0.14 ,Manufacturing
Hungary,ORSZAK-BUDAPEST Kft.,1994,Manufacturing & Services,,, 0.15 ,Construction
Hungary,Kaposvári Ruhagyár Rt,1994,Manufacturing & Services,,, 0.20 ,Manufacturing
Hungary,KIPSZER Technológiai és Épületgépészeti Kft.,1994,Manufacturing & Services,,, 0.21 ,Manufacturing
Hungary,Fém- és Villamosipari Kft.,1994,Manufacturing & Services,,, 0.25 ,Manufacturing
Hungary,Közlekedési Dokumentációs Rt.,1994,Manufacturing & Services,,, 0.26 ,Manufacturing
Hungary,Hajdúszoboszlói Utépítô Kft.,1994,Manufacturing & Services,,, 0.27 ,Construction
Hungary,Debreceni Ruhagyár Kft.,1994,Manufacturing & Services,,, 0.29 ,Manufacturing
Hungary,Tisza Téglaipari Kft.,1994,Manufacturing & Services,,, 0.32 ,Manufacturing
Hungary,Fertôszéplaki Téglaipari Kft,1994,Manufacturing & Services,,, 0.33 ,Manufacturing
Hungary,Jászberényi Aprítógépgyár Részvénytársaság,1994,Manufacturing & Services,,, 0.35 ,Manufacturing
Hungary,Tatai Téglaipari Kft,1994,Manufacturing & Services,,, 0.37 ,Manufacturing
Hungary,Franklin Nyomda és Kiadó Kft.,1994,Manufacturing & Services,,, 0.37 ,Manufacturing
Hungary,Letenyei Mezôgazdasági Gép- és Fémszerk.-gyártó Egysz. Kft.,1994,Manufacturing & Services,,,,Manufacturing
Hungary,Mirelite Budapest Hütôipari Rt.,1994,Manufacturing & Services,,, 0.39 ,Manufacturing
Hungary,BETA FARM Kft,1994,Manufacturing & Services,,, 0.40 ,Agriculture
Hungary,Kecskeméti Parkettagyártó Kft.,1994,Manufacturing & Services,,, 0.40 ,Manufacturing
Hungary,Pécsi Híradástechnikai és Gépjavító Kft.,1994,Manufacturing & Services,,, 0.42 ,Manufacturing
Hungary,ÉSZAKTERV Észak-Magyarországi Regionális Tervezô Kft.,1994,Manufacturing & Services,,,,Construction
Hungary,FERRA Hajdúszoboszlói Acélszerkezetgyártó Kft.,1994,Manufacturing & Services,,, 0.43 ,Manufacturing
Hungary,FÖLDGÉP Cltalános Mélyépítô Rt.,1994,Manufacturing & Services,,, 0.44 ,Construction
Hungary,Jász Bútorgyártó és Értékesítô Kft.,1994,Manufacturing & Services,,, 0.46 ,Manufacturing
Hungary,ASV-PLAST Kft.,1994,Manufacturing & Services,,, 0.48 ,Manufacturing
Hungary,Dunakeszi Hltôipari Rt,1994,Manufacturing & Services,,, 0.50 ,Manufacturing
