Country,Company Name,Year,Sector,DealType,DealSubtype, Proceeds ($ millions) 
Bosnia and Herzegovina,Sipad Export-Import,2005,Financial,Direct Negotiations,, 14.60 
Bosnia and Herzegovina,Unis CRNI VRH,2005,Financial,Auction,, 2.86 
Bosnia and Herzegovina,Telekom Sprske,2006,Infrastructure,Divestiture,Partial (65%), 861.00 
Brazil,Petrobras,2000,Energy,Divestiture,Full," 4,233.30 "
Brazil,Banespa,2000,Financial,Concession,"Build, rehabilitate, operate, and transfer"," 3,580.50 "
Brazil,Aguas Guariroba,2000,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 80.60 
Brazil,Comgas,2000,Infrastructure,Divestiture,Full, 990.00 
Brazil,Companhia de Energia Eletrica de Pernambuco (CELPE),2000,Infrastructure,Divestiture,Partial," 1,004.00 "
Brazil,Companhia Energetica do Maranhao (CEMAR),2000,Infrastructure,Divestiture,Partial, 288.80 
Brazil,Gas Natural Sao Paulo Sul SA,2000,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer", 298.50 
Brazil,Hipercon - Terminais de Carga Ltda.,2000,Infrastructure,,, 1.60 
Brazil,Manaus Saneamento,2000,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 106.10 
Brazil,Salvador Port Containers Terminal (Tecon Salvador),2000,Infrastructure,Divestiture,Partial, 19.00 
Brazil,Sociedade Anonima de Eletrificacao da Paraiba (SAELPA),2000,Infrastructure,Divestiture,Partial, 186.00 
Brazil,Banco do Estado da Paraiba (Paraiban),2001,Financial,Divestiture,Full, 30.00 
Brazil,Banespa,2001,Financial,Divestiture,Partial," 1,100.00 "
Brazil,Caixa Seguros,2001,Financial,Divestiture,Full, 538.00 
Brazil,Anchieta - Imigrantes Toll Road,2001,Infrastructure,Divestiture,Partial, 19.60 
Brazil,Companhia Piratininga de Forca e Luz,2001,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer", 105.20 
Brazil,Port of Sepetiba Terminal de Conteineres (Tecon 1),2001,Infrastructure,Management and lease contract,Lease contract, 83.80 
Brazil,TIM Celular SA,2001,Infrastructure,Greenfield project,"Build, own, and operate", 918.00 
Brazil,TNL PCS SA,2001,Infrastructure,Greenfield project,"Build, own, and operate", 279.00 
Brazil,Wireless Telecom License,2001,Infrastructure,Concession,, 251.00 
Brazil,Petreoquimica do nordeste (Copene),2001,Primary,Concession,"Rehabilitate, operate, and transfer", 541.90 
Brazil,Port of Suape Container Terminal,2002,Infrastructure,Greenfield project,"Build, own, and operate", 3.50 
Brazil,TNL PCS SA,2002,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer", 271.00 
Brazil,Caminhos do Parana Toll Road,2003,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer",
Brazil,State Bank of Maranhao,2004,Financial,,, 26.60 
Brazil,Companhia de Saneamento Basico do Estado de Sao Paulo,2004,Infrastructure,,, 209.60 
Brazil,Line 4 Rio Metro,2004,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer", 408.00 
Brazil,Transleste II,2004,Infrastructure,Greenfield project,"Build, own, and operate", 3.70 
Brazil,Artemis Transmissora de Energia SA,2005,Infrastructure,Greenfield project,"Build, own, and operate", 5.00 
Brazil,Campos Novos Power Plant,2005,Infrastructure,Greenfield project,"Build, own, and operate", 9.70 
Brazil,Cuiaba – Itumbiara Transmission Line,2005,Infrastructure,Greenfield project,"Build, own, and operate", 59.30 
Brazil,Companhia de Transmissao de Energia Electrica Paulista (CTEEP),2006,Infrastructure,Divestiture,Partial (74.9 %), 535.00 
Brazil,Cuiaba-Utumbiara Transmission Line,2006,Infrastructure,Greenfield,"Build, own and transfer", 59.30 
Brazil,Estreito Hydroelectric Power Plant,2007,Infrastructure,Greenfield project,Merchant (100%) , 12.90 
Brazil,Foz do Chapeco Hydroelectric Power Plant,2007,Infrastructure,Greenfield project,"Build, own, and operate (51%)", 97.90 
Brazil,Norte Sul Railroad,2007,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer (100%)", 760.00 
Brazil,Salto do Rio Verdinho HPP,2008,Infrastructure,Greenfield project,"Build, own, and operate",2.20
Brazil,Rodoanel Mario Covas Western Beltway,2008,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer",1090.00
Brazil,Tecon Imbituba,2008,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer",154.00
Bulgaria,Pamporovo Mountain Resort,2000,Competitive,Concession,"Build, rehabilitate, operate, and transfer", 11.00 
Bulgaria,Pirinska Bistritsa,2000,Energy,Concession,"Build, rehabilitate, operate, and transfer", 15.00 
Bulgaria,Bulbank AD,2000,Financial,Concession,"Build, rehabilitate, operate, and transfer", 316.20 
Bulgaria,Sodi Devnya,2000,Other,,, 2.30 
Bulgaria,Beliizvorski Tsement,2001,Competitive,,, 8.40 
Bulgaria,Hotel Complex Europe,2001,Competitive,,, 7.20 
Bulgaria,Tz-Tznika,2001,Financial,,, 6.20 
Bulgaria,Globul,2001,Infrastructure,,, 135.00 
Bulgaria,Alen-Mak Plovdiv,2002,Competitive,,, 6.20 
Bulgaria,Intertravel Service,2002,Competitive,,, 7.30 
Bulgaria,Biochim,2002,Financial,Private Sale,, 85.87 
Bulgaria,Shumensko Pivo,2002,Other,Private Sale,, 2.90 
Bulgaria,Lagerenzavot,2002,Primary,,, 7.10 
Bulgaria,Atomenergoremont PLC,2003,Competitive,,, 9.56 
Bulgaria,Rodina Publishing & Printing House,2003,Competitive,Private Sale,, 3.72 
Bulgaria,Prouchvane i Dobiv na Neft i Gaz,2003,Energy,,, 24.58 
Bulgaria,Banka DSK AD,2003,Financial,,, 363.73 
Bulgaria,DSK Bank EAD,2003,Financial,,, 358.58 
Bulgaria,"Portflot –Bourgas, EAD",2003,Infrastructure,Greenfield project,"Build, own, and operate", 4.89 
Bulgaria,Russe gas distribution,2003,Infrastructure,,, 13.30 
Bulgaria,Sofia gas distribution,2003,Infrastructure,,,
Bulgaria,Varna gas distribution,2003,Infrastructure,,, 5.30 
Bulgaria,Bulgarian Telecommunications Company,2004,Infrastructure,Divestiture,Partial, 722.00 
Bulgaria,Northeast Electricity Distribution Group,2004,Infrastructure,Divestiture,Partial, 181.00 
Bulgaria,Southeast Electricity Distribution Group,2004,Infrastructure,Divestiture,Partial, 345.00 
Bulgaria,Dunarit Russe ,2005,Competitive,,, 1.27 
Bulgaria,Gypsum Koshava ,2005,Competitive,,, 1.75 
Bulgaria,Globul,2005,Infrastructure,Greenfield project,"Build, own, and operate", 26.50 
Bulgaria,MobilTel AD,2005,Infrastructure,Greenfield project,"Build, own, and operate", 51.40 
Bulgaria,Western Electricity Distribution Group,2005,Infrastructure,Divestiture,Partial, 363.50 
Bulgaria,Varna Power Plant,2006,Infrastructure,Divestiture,Full, 259.00 
Bulgaria,Ruse Thermal Power Plant ,2007,Infrastructure,Divestiture,Full , 117.00 
Bulgaria,Slanchev Briag Electricity Distribution Company,2007,Infrastructure,Divestiture,Full , 32.00 
Bulgaria,Bulgartabac ,2008,Competitive,IPO,,36.96
Bulgaria,Bulgarian Marine Operator,2008,Competitive,Private Sale,Partial (70%),334.41
Burkina Faso,Celtel Burkina Faso,2000,Infrastructure,Greenfield project,"Build, own, and operate", 10.60 
Burkina Faso,Telecel Faso,2000,Infrastructure,Divestiture,Partial, 8.00 
Burkina Faso,Air Burkina,2001,Competitive,Greenfield project,"Build, own, and transfer", 4.93 
Burkina Faso,Onatel,2006,Competitive,Divestiture,Partial (80%), 290.00 
Cameroon,SOCAPALM,2000,Competitive,Concession,"Build, rehabilitate, operate, and transfer", 28.20 
Cameroon,BICEC,2000,Financial,Divestiture,"Build, rehabilitate, operate, and transfer", 8.90 
Cameroon,Camtel Mobile,2000,Infrastructure,Divestiture,Full, 56.40 
Cameroon,MTN Cameroon,2000,Infrastructure,Divestiture,Partial, 60.00 
Cameroon,AES Sonel,2001,Infrastructure,Concession,, 70.40 
Central African Republic,Orange Centrafrique,2007,Infrastructure,Greenfield project,Merchant (100%), 12.00 
Chile,Empresa de Servicios Sanitarios del Bio Bio (ESSBIO),2000,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 282.00 
Chile,Americo Vespucio Southern Section,2001,Infrastructure,Divestiture,Partial, 55.00 
Chile,Empresa de Servicios Sanitarios del Maule SA (ESSAM),2001,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer", 180.00 
Chile,Aguas Araucania (Essar),2004,Infrastructure,,, 61.30 
Chile,Aguas Chanar (Emssat),2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 25.00 
Chile,Aguas de Antofagasta (Essan),2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 195.30 
Chile,Aguas de Valle (Essco),2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 89.70 
Chile,Aguas del Altiplano (Essat),2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 74.20 
Chile,Aguas Magallanes (esmag),2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 35.20 
Chile,Americo Vespucio Southern Section,2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 301.00 
Chile,Santa Rosa Corridor,2006,Infrastructure,Concession,"Build, rehabilitate, operate and transfer", 27.00 
China,PetroChina,2000,Energy,Divestiture,Partial," 2,890.00 "
China,Beijing - Jingtong Highway,2000,Infrastructure,Divestiture,Partial, 325.00 
China,Beijing International Airport,2000,Infrastructure,Divestiture,Partial, 386.00 
China,Changchun Gas Co. Ltd.,2000,Infrastructure,Divestiture,Partial, 43.50 
China,Chengdu Cogeneration Project,2000,Infrastructure,Divestiture,Partial, 56.50 
China,China United Communications,2000,Infrastructure,Divestiture,Partial," 5,653.00 "
China,Chongqing Wujiang Electric Power Co.,2000,Infrastructure,Divestiture,Partial, 86.10 
China,Fujian Mindong Electric Power Co.,2000,Infrastructure,Divestiture,Partial, 150.00 
China,Guangxi Guigan Electric Power,2000,Infrastructure,Divestiture,Partial, 83.30 
China,Guangxi Wuzhou Communications Co. Ltd.,2000,Infrastructure,Divestiture,Partial, 53.00 
China,Hubei Changyuan Electric Power Development Co.,2000,Infrastructure,Divestiture,Partial, 79.60 
China,Hubei WuAn Peak Heat and Power Company Ltd.,2000,Infrastructure,Divestiture,Partial, 10.10 
China,Jiangxi Ganyue Expressway Co.,2000,Infrastructure,Divestiture,Partial, 159.50 
China,Shanghai Port Container Co. Ltd.,2000,Infrastructure,Divestiture,Partial, 303.80 
China,China Netcom,2001,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 325.00 
China,China Railway Erju Co. Ltd,2001,Infrastructure,Divestiture,Partial, 126.20 
China,CLP Guohua Power Co. Ltd.,2001,Infrastructure,Divestiture,Partial, 107.00 
China,Fujian Expressway Devt. Ltd.,2001,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 212.10 
China,Luannan Peak Heat and Power Company Ltd.,2001,Infrastructure,Divestiture,Partial, 118.80 
China,Qianan Xin Di Thermal Power,2001,Infrastructure,Divestiture,Full, 40.80 
China,Zhuceng Xinao Gas Company Limited,2001,Infrastructure,Divestiture,Partial, 1.00 
China,"Zouping Peak CHP Co., Ltd",2001,Infrastructure,Divestiture,Partial, 26.90 
China,China Telecom,2002,Infrastructure,Private Sale,," 1,430.00 "
China,Hainan Meilan Airport,2002,Infrastructure,Public Offers,, 97.90 
China,Huaian Xinao Gas Company Limited,2002,Infrastructure,Divestiture,Partial, 33.80 
China,Yancheng Xinao Gas Company Limited,2002,Infrastructure,Private Sale,, 14.50 
China,Zhengzhou Gas Company Limited,2002,Infrastructure,Divestiture,Partial, 17.70 
China,Ziyang Panva Gas Company,2002,Infrastructure,Private Sale,, 3.60 
China,China National Foreign Trade Transportation(Group)Corp {Sinotrans},2003,Competitive,Public Offers,, 65.00 
China,Jiangsu Jiangdong Group Ltd.,2003,Competitive,Divestiture,Partial, 59.22 
China,Nanjing International Exhibition Center,2003,Competitive,Public Offers,, 78.75 
China,Sinotrans Co Ltd,2003,Competitive,Concession,"Rehabilitate, operate, and transfer", 436.40 
China,Shenzhen Energy Group Co Ltd,2003,Energy,Divestiture,Partial, 289.11 
China,Beijing Capital Land Ltd,2003,Financial,Divestiture,Partial, 120.20 
China,China Life Insurance Co Ltd,2003,Financial,Divestiture,Partial," 3,021.60 "
China,Changle County Water Project,2003,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 11.70 
China,China Resources Power,2003,Infrastructure,Private Sale,, 378.80 
China,Lezhi Panva Gas Company,2003,Infrastructure,Divestiture,Partial, 1.80 
China,Nina Hydroelectric Plant,2003,Infrastructure,Divestiture,Partial, 145.00 
China,Pengxi Panva Gas,2003,Infrastructure,Divestiture,Partial, 1.40 
China,Qingdao Wastewater,2003,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 36.80 
China,Qujing - Phase II,2003,Infrastructure,Divestiture,Partial, 35.80 
China,Shanghai East Container Terminal,2003,Infrastructure,Divestiture,Partial,
China,Shenzhen Gas Group,2003,Infrastructure,Divestiture,Partial, 60.00 
China,Shenzhen Water Group,2003,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 124.00 
China,Yangtze Electric Power Co.,2003,Infrastructure,Divestiture,Partial," 1,200.00 "
China,Bank of Communications,2004,Financial,Direct Sale,20% Stake," 2,100.00 "
China,Cangxi Panva Gas Company,2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 2.30 
China,CGE Zunyi Water Treatment Company,2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 18.30 
China,Changsha Second Wastewater Treatment Plant,2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 29.80 
China,China Netcom,2004,Infrastructure,,," 1,140.00 "
China,China Power International Development Ltd.,2004,Infrastructure,Divestiture,Partial, 369.00 
China,Dayia Panva Gas Company,2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 1.60 
China,Fuzhou CWC Water Company Limited,2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 18.00 
China,Hohhot Water Development Project,2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 42.90 
China,Huadian Power International,2004,Infrastructure,,, 232.80 
China,Jingtang International Container Terminal,2004,Infrastructure,Concession,"Build, rehabilitate, operate, and transfer", 35.30 
China,Tianjin Tanggu Sino French Water Supply Company,2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 56.70 
China,Wangxiaoying Wastewater Treatment Plant,2004,Infrastructure,Lease,Lease contract, 58.00 
China,Yantian Westport Container Terminal,2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 12.30 
China,Yuechi Panva Gas Company,2004,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 4.50 
China,Bank of China,2005,Financial,Direct Sale,10% Stake," 3,100.00 "
China,Bank of China,2005,Financial,Direct Sale,10% Stake," 3,100.00 "
China,Bank of China,2005,Financial,Direct Sale,10% Stake, 500.00 
China,China Construction Bank,2005,Financial,Direct Sale,9% Stake," 3,000.00 "
China,China Pacific Life Insurance,2005,Financial,Direct Sale,25% Stake, 410.00 
China,Huaxia Bank,2005,Financial,Direct Sale,10% Stake, 330.00 
China,Industrial & Commercial Bank of China,2005,Financial,Direct Sale,10% Stake," 3,000.00 "
China,Agualia Bengbu Wastewater,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 60.60 
China,Anshan Panva Gas Company,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 13.50 
China,Changchun Gas Holding Ltd,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 45.80 
China,Changshu Xinghua Port Co. Ltd.,2005,Infrastructure,Greenfield project,"Build, own, and transfer", 64.70 
China,Changzhou Tap Water group,2005,Infrastructure,Lease,Lease contract, 55.60 
China,Chengdu City Gas Company,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 20.60 
China,Chongqing Yujiankou Hydroelectric Power Plant,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 51.63 
China,Hebei Wastewater Treatment Plant,2005,Infrastructure,Greenfield project,, 20.00 
China,Henan Wastewater Plants,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 7.70 
China,Jianyang Panva Gas Company,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 3.40 
China,Kunming Water Supply Company,2005,Infrastructure,Lease,Lease contract, 124.00 
China,Liaoning Anshan Wastewater Treatment Plant,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 13.43 
China,Linyi City Salcon Water Concession,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 4.40 
China,Linyi Salcon Water Co. Ltd.,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 2.20 
China,Peng Shan Panva Gas Company,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 2.50 
China,Qiqihar Panva Gas Company,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 8.50 
China,Shanghai Zhuyuan No. 1 Sewage Treatment Plant,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 18.20 
China,Wuhu Hong Kong and China Water Co. Ltd,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 27.20 
China,Wujiang Hong Kong and China Water C. Ltd,2005,Infrastructure,,, 93.80 
China,Xintai City Wastewater,2005,Infrastructure,Greenfield project,"Build, own, and transfer", 4.20 
China,Zhong Jiang Panva Gas Company,2005,Infrastructure,Concession,"Rehabilitate, operate, and transfer", 4.40 
China,Advanced Semiconductor Manufacturing Coportation,2006,Competitive,Public Offering,Partial, 83.90 
China,China BlueChemical Ltd.,2006,Competitive,Public Offering,Partial, 392.70 
China,China Communications Construction Company,2006,Competitive,Public Offering,Partial (24.5%)," 2,380.00 "
China,China Communications Services,2006,Competitive,Public Offering,, 365.40 
China,"China National Building Material Co, Ltd.",2006,Competitive,Public Offering,Partial (19%), 266.60 
China,"Jilin Qifeng Fiber Co, Ltd",2006,Competitive,Public Offering,Partial, 51.00 
China,"Shanghai Jin Jiang International Hotels Co, Ltd",2006,Competitive,Public Offering,Partial, 311.00 
China,"Shanghai Prime Machinery Co, Ltd",2006,Competitive,Public Offering,Partial, 187.20 
China,Zhuzhou CSR Times Electric Co,2006,Competitive,Public Offering,Partial, 246.00 
China,Bank of China,2006,Financial,Public Offering,Partial," 13,714.00 "
China,China Merchant Bank,2006,Financial,Public Offering,Partial," 2,660.00 "
China,Industrial and Commercial Bank of China,2006,Financial,Public Offering,Partial (15%)," 22,041.00 "
China,"Baoji China Gas Co., Ltd.",2006,Infrastructure,Concession,"Build, rehabilitate, operate and transfer", 21.30 
China,Dalian Port (PDA) Co Ltd,2006,Infrastructure,Public Offering,Partial, 320.80 
China,Daqin Railway Co Ltd.,2006,Infrastructure,Public Offering,Partial," 1,922.00 "
China,Fushun City Gas Project,2006,Infrastructure,Concession,"Build, rehabilitate, operate and transfer", 35.30 
China,Guangshen Railway Co Ltd,2006,Infrastructure,Public Offering,Partial," 1,324.00 "
China,Hangzhou Xiaoshan International Airport,2006,Infrastructure,Divestiture,Partial, 713.00 
China,Henan Jiaozuo Wastewater Treatment Plant,2006,Infrastructure,Concession,"Rehabilitate, operate and transfer", 15.00 
China,Henan Shangqiu Waterwater Treatment Plant,2006,Infrastructure,Concession,"Rehabilitate, operate and transfer", 11.29 
China,Huhhot Gas Project,2006,Infrastructure,Concession,"Rehabilitate, operate and transfer", 100.40 
China,Huizhou Port,2006,Infrastructure,Concession,"Rehabilitate, operate and transfer", 188.00 
China,Jingzhou City Water Treatment Plant,2006,Infrastructure,Concession,"Rehabilitate, operate and transfer", 16.20 
China,Liuzhou Water Services,2006,Infrastructure,Management and lease contract,, 7.53 
China,Luoyang Xinao Gas Company Limited,2006,Infrastructure,Concession,"Rehabilitate, operate and transfer", 45.20 
China,"Qingdao Taineng Natural Gas Co., Ltd.",2006,Infrastructure,Concession,"Rehabilitate, operate and transfer", 32.12 
China,Suzhou Wastewater Treatment Plant,2006,Infrastructure,Concession,"Build, rehabilitate, operate and transfer", 10.04 
China,Tianjin Port Development,2006,Infrastructure,Divestiture,Partial (34%), 140.00 
China,"Tianquan River (Shiyang Section) Hydroelectric Power Development Co., Ltd.",2006,Infrastructure,Concession,"Rehabilitate, operate and transfer", 87.80 
China,Tongliao Wasterwater Treatment Plant,2006,Infrastructure,Greenfield,, 3.76 
China,Zhangzhu Town Waste Water Treatment Plant,2006,Infrastructure,Management and lease contract,Lease contract, 2.00 
China,Zhuhai Airport,2006,Infrastructure,Concession,"Rehabilitate, operate and transfer", 45.00 
China,"China Coal Energy Co, LTD",2006,Primary,Public Offering,Partial (29%)," 1,944.00 "
China,"Hunan Nonferrous Metals Corporation, Ltd",2006,Primary,Public Offering,Partial, 263.00 
China,Lingbao Gold Co Ltd,2006,Primary,Public Offering,Partial, 127.00 
China,"Zhaojin Mining Industry Co, Ltd",2006,Primary,Public Offering,Partial, 282.00 
China,"China Molybdenum Co., Ltd.",2007,Competitive,IPO,H-shares," 1,037.00 "
China,"China National Materials Co., Ltd",2007,Competitive,IPO,H-shares, 540.00 
China,China Railway Group,2007,Competitive,IPO,A-shares," 3,075.00 "
China,China Railway Group,2007,Competitive,IPO,A-shares," 2,835.00 "
China,China Shipper Container Lines,2007,Competitive,IPO,A-shares," 2,100.00 "
China,"Sichuan Xinhua Winshare Chainstore Co., Ltd.",2007,Competitive,IPO,H-shares, 298.00 
China,Sinotrans Shipping,2007,Competitive,IPO,H-shares," 1,470.00 "
China,Sinotruk,2007,Competitive,IPO,H-shares," 1,200.00 "
